id,created_at,user_country,age,campaign_source,device,budget_created_at,autosave_created_at,subscription_created_at
881965,10/01/2019,GB,21,Influencer,messenger,,,10/01/2019
895105,14/01/2019,GB,32,Facebook Ads: General,messenger,14/01/2019,,15/01/2019
900657,16/01/2019,GB,37,Friend Referral,messenger,16/01/2019,30/05/2019,16/01/2019
935456,27/01/2019,US,29,Facebook Ads: General,messenger,27/01/2019,,27/01/2019
956026,05/02/2019,GB,23,Influencer,messenger,05/02/2019,,09/03/2019
958742,06/02/2019,GB,36,Influencer,messenger,,,06/02/2019
967369,09/02/2019,US,25,Influencer,messenger,09/02/2019,,09/02/2019
970408,10/02/2019,GB,25,Influencer,messenger,21/02/2019,,20/02/2019
971090,11/02/2019,US,23,Facebook Ads: Overdraft Fees,messenger,11/02/2019,,11/02/2019
976883,12/02/2019,US,24,Influencer,messenger,,,22/05/2019
981074,13/02/2019,US,23,Influencer,messenger,,,01/04/2019
981316,13/02/2019,US,26,Influencer,messenger,13/02/2019,,13/02/2019
988897,15/02/2019,US,29,Facebook Ads: Overdraft Fees,ios,15/02/2019,,03/08/2019
997669,17/02/2019,US,27,Influencer,messenger,17/02/2019,,17/02/2019
999964,18/02/2019,US,22,Influencer,messenger,,,18/02/2019
1001545,18/02/2019,US,28,Influencer,messenger,,,30/04/2019
1004489,19/02/2019,US,33,Influencer,ios,19/02/2019,,15/03/2019
1006131,20/02/2019,US,26,Facebook Ads: Overdraft Fees,messenger,,,12/03/2019
1008126,20/02/2019,US,24,Facebook Ads: Overdraft Fees,messenger,09/03/2019,,27/03/2019
1015567,23/02/2019,US,27,Influencer,messenger,24/02/2019,,26/02/2019
1017094,24/02/2019,US,29,Influencer,messenger,05/03/2019,,29/03/2019
1017311,24/02/2019,US,25,Facebook Ads: Overdraft Fees,messenger,24/02/2019,,13/03/2019
1017831,24/02/2019,US,31,Influencer,ios,07/03/2019,,29/03/2019
1019380,25/02/2019,US,23,Facebook Ads: Overdraft Fees,messenger,25/02/2019,28/02/2019,26/02/2019
1021004,25/02/2019,US,22,Facebook Ads: Overdraft Fees,messenger,23/03/2019,,25/04/2019
1022046,25/02/2019,US,26,Influencer,ios,26/02/2019,,26/02/2019
1025855,26/02/2019,US,24,Facebook Ads: Overdraft Fees,ios,18/03/2019,,27/03/2019
1026361,26/02/2019,US,21,Facebook Ads: Overdraft Fees,messenger,26/02/2019,,26/02/2019
1028245,27/02/2019,US,30,Influencer,messenger,27/02/2019,,30/03/2019
1031150,28/02/2019,US,34,Influencer,ios,,,18/06/2019
1032692,28/02/2019,US,29,Facebook Ads: Overdraft Fees,ios,07/07/2019,,22/09/2019
1032922,28/02/2019,GB,30,Influencer,messenger,14/03/2019,,01/03/2019
1035154,01/03/2019,US,29,Facebook Ads: General,messenger,01/03/2019,,03/04/2019
1036411,02/03/2019,US,32,Facebook Ads: Overdraft Fees,messenger,,,12/04/2019
1038567,02/03/2019,US,29,Influencer,ios,17/03/2019,,28/03/2019
1040409,03/03/2019,GB,46,Influencer,ios,,,11/03/2019
1043156,04/03/2019,US,46,Facebook Ads: Overdraft Fees,android,,,05/04/2019
1050116,06/03/2019,US,30,Influencer,messenger,,,23/06/2019
1060561,09/03/2019,US,29,Influencer,messenger,09/03/2019,,16/03/2019
1061013,09/03/2019,US,32,Facebook Ads: Overdraft Fees,messenger,27/04/2019,,27/04/2019
1062699,10/03/2019,GB,28,Influencer,android,10/03/2019,28/03/2019,05/04/2019
1063028,10/03/2019,US,30,Influencer,ios,,,16/04/2019
1063776,10/03/2019,GB,22,Facebook Ads: General,ios,10/03/2019,,05/09/2019
1065515,11/03/2019,GB,22,Facebook Ads: Overdraft Fees,messenger,,,02/07/2019
1066557,11/03/2019,GB,22,Facebook Ads: Overdraft Fees,messenger,18/03/2019,09/05/2019,29/03/2019
1067598,11/03/2019,US,24,Friend Referral,ios,,,03/08/2019
1073673,14/03/2019,US,21,Facebook Ads: Overdraft Fees,messenger,14/03/2019,,26/03/2019
1074839,14/03/2019,US,30,Influencer,ios,14/05/2019,,14/03/2019
1074899,14/03/2019,US,26,Friend Referral,android,14/03/2019,,31/03/2019
